31=0, 137475, 72543, 50984, 41491, 35948, 29920, 25802, 25449, 25322, 25028, 24896, 19927, 19859
32=0, 137673, 72569, 50916, 41453, 35980, 29970, 25794, 25472, 25324, 25065, 24889, 19926, 19801
33=0, 40250, 22483, 16258, 13646, 11773, 10418, 10162, 8898, 8891, 8671, 8487, 7679, 7601
34=0, 40315, 22351, 16218, 13614, 11768, 10484, 10233, 9010, 8963, 8760, 8636, 7921, 7773
35=0, 40495, 22416, 16281, 13594, 11790, 10453, 10221, 8987, 8960, 8788, 8633, 7886, 7772
36=0, 40256, 22325, 16263, 13556, 11759, 10481, 10176, 9014, 8973, 8819, 8619, 7863, 7757
37=0, 40169, 22321, 16262, 13574, 11765, 10430, 10153, 9000, 8993, 8784, 8618, 7840, 7751
38=0, 40241, 22296, 16239, 13592, 11753, 10433, 10193, 9014, 8995, 8822, 8657, 7869, 7790
39=0, 40225, 22329, 16306, 13540, 11769, 10455, 10184, 8976, 8992, 8867, 8634, 7875, 7741
40=0, 40189, 22332, 16235, 13554, 11758, 10410, 10169, 8973, 8968, 8809, 8649, 7866, 7760
41=0, 40283, 22304, 16215, 13549, 11759, 10388, 10160, 8959, 8968, 8822, 8671, 7865, 7759
42=0, 40163, 22327, 16300, 13505, 11801, 10419, 10173, 8937, 8976, 8796, 8649, 7884, 7766
43=0, 40165, 22319, 16216, 13521, 11780, 10420, 10214, 8979, 8973, 8828, 8645, 7912, 7751
44=0, 40177, 22402, 16267, 13511, 11767, 10394, 10208, 8953, 8983, 8799, 8663, 7890, 7797
45=0, 40206, 22289, 16247, 13490, 11725, 10386, 10206, 9050, 8961, 8817, 8643, 7887, 7910
46=0, 40155, 22348, 16251, 13484, 11776, 10405, 10174, 8961, 8972, 8811, 8630, 7875, 7747
47=0, 40220, 22345, 16253, 13472, 11825, 10494, 10171, 9022, 8967, 8801, 8637, 7930, 7752
48=0, 40315, 22324, 16268, 13460, 11809, 10402, 10194, 8984, 8980, 8802, 8671, 7902, 7751
